source_key,title,url,archive_url,publisher,published_at,retrieved_at_utc,source_type,role,confidence,notes
S-254,Replit connect through MCP,https://docs.replit.com/chat/connect-through-mcp,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-255,replit.md,https://docs.replit.com/features/project-setup/replit-dot-md,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-260,Warp Agent Skills,https://docs.warp.dev/agents/capabilities/skills/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-261,Warp Agents Overview,https://docs.warp.dev/agents/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-262,Warp MCP workflows,https://docs.warp.dev/guides/external-tools/using-mcp-servers-with-warp/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-263,Warp Cloud Agents,https://docs.warp.dev/platform/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-264,Warp Agent cloud harness,https://docs.warp.dev/platform/harnesses/warp-agent/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-265,Warp third-party CLI agents,https://docs.warp.dev/agents/cli-agents/overview/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-266,Warp Oz CLI,https://docs.warp.dev/reference/cli/,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-270,Roo Code shutdown notice,https://roocodeinc.github.io/Roo-Code/,[archive-failed: automated archive submission unavailable in this environment],Roo Code,2026-05-15,2026-08-28T19:48:01Z,vendor-doc,historical,high,"Product discontinued May 15, 2026."
S-271,Aider documentation,https://aider.chat/docs/,[archive-failed: automated archive submission unavailable in this environment],Aider,live docs,2026-08-28T19:48:01Z,vendor-doc,supporting,medium,"No current first-party evidence found for ACP, Agent Plugins, or Agent Skills support in this research pass."
S-280,NanoClaw repository,https://github.com/qwibitai/nanoclaw,[archive-failed: automated archive submission unavailable in this environment],NanoClaw,live docs,2026-08-28T19:48:01Z,github,supporting,medium,
S-290,Overview of customizing GitHub Copilot CLI,https://docs.github.com/en/copilot/how-tos/copilot-cli/customize-copilot/overview,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-291,GitHub Copilot CLI command reference,https://docs.github.com/en/copilot/reference/copilot-cli-reference/cli-command-reference,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-292,GitHub Copilot CLI plugin reference,https://docs.github.com/en/copilot/reference/copilot-cli-reference/cli-plugin-reference,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-293,Automate with GitHub Copilot CLI,https://docs.github.com/en/copilot/how-tos/copilot-cli/automate-copilot-cli,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-294,Adding custom instructions for GitHub Copilot CLI,https://docs.github.com/en/copilot/how-tos/copilot-cli/customize-copilot/add-custom-instructions,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-295,Cline MCP overview,https://docs.cline.bot/mcp/mcp-overview,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-296,Cline Skills,https://docs.cline.bot/customization/skills,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-297,Cline Plugins,https://docs.cline.bot/customization/plugins,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-298,Cline Hooks,https://docs.cline.bot/customization/hooks,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-299,Cline Scheduled Agents,https://docs.cline.bot/sdk/guides/scheduled-agents,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-300,Cline Connectors,https://docs.cline.bot/cli/connectors,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-301,Aider options reference,https://aider.chat/docs/config/options.html,[archive-failed: automated archive submission unavailable in this environment],Aider,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-302,Aider coding conventions,https://aider.chat/docs/usage/conventions.html,[archive-failed: automated archive submission unavailable in this environment],Aider,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-303,Aider in-chat commands,https://aider.chat/docs/usage/commands.html,[archive-failed: automated archive submission unavailable in this environment],Aider,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-304,About GitHub Copilot plugins,https://docs.github.com/en/copilot/concepts/agents/about-plugins,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-305,Administering Copilot CLI for your enterprise,https://docs.github.com/en/copilot/how-tos/copilot-cli/administer-copilot-cli-for-your-enterprise,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-306,OpenWork publisher repository,https://github.com/different-ai/openwork,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,github,canonical,high,
S-307,Get started with OpenWork,https://openworklabs.com/docs/start-here/get-started,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-308,Add an MCP server in OpenWork,https://openworklabs.com/docs/start-here/connect-your-stack/add-an-mcp-server,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-309,Import a skill into OpenWork,https://openworklabs.com/docs/start-here/do-work-with-it/import-a-skill,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-310,Control the browser with OpenWork,https://openworklabs.com/docs/start-here/do-work-with-it/control-the-browser,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-311,Get started with OpenWork Cloud,https://openworklabs.com/docs/cloud/get-started,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-312,OpenWork architecture,https://github.com/different-ai/openwork/blob/dev/ARCHITECTURE.md,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,github,canonical,high,
S-313,OpenWork UI MCP control profile,https://github.com/different-ai/openwork/blob/dev/docs/mcp-ui-control-profile.md,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,github,canonical,high,
S-314,OpenWork Connect,https://openwork.studio/connect,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-315,OpenWork roadmap,https://openworklabs.com/docs/roadmap,[archive-failed: automated archive submission unavailable in this environment],OpenWork,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-316,Kiro subagents,https://kiro.dev/docs/custom-agents/subagents/,[archive-failed: automated archive submission unavailable in this environment],Kiro,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-317,How Kiro works,https://kiro.dev/docs/how-kiro-works/,[archive-failed: automated archive submission unavailable in this environment],Kiro,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-318,Kiro configuration scopes,https://kiro.dev/docs/configuration/,[archive-failed: automated archive submission unavailable in this environment],Kiro,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-319,Kiro enterprise governance,https://kiro.dev/docs/enterprise/governance/,[archive-failed: automated archive submission unavailable in this environment],Kiro,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-320,OpenHands skills overview and support matrix,https://docs.openhands.dev/overview/skills,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-321,OpenHands SDK plugins,https://docs.openhands.dev/sdk/guides/plugins,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-322,OpenCode rules and AGENTS.md,https://opencode.ai/docs/rules,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
S-323,Warp CLI MCP servers,https://docs.warp.dev/reference/cli/mcp-servers,[archive-failed: automated archive submission unavailable in this environment],Warp,live docs,2026-08-28T23:30:00Z,vendor-doc,canonical,high,
